customer_reference,locale_name,phone,email,salutation,first_name,last_name,company,gender,date_of_birth,password,registered
K6--00001,en_US,,k6test1@k6-loadtest.local,Mr,LoadTest,User1,K6 Load Test Company 001,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00002,en_US,,k6test2@k6-loadtest.local,Mr,LoadTest,User2,K6 Load Test Company 002,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00003,en_US,,k6test3@k6-loadtest.local,Mr,LoadTest,User3,K6 Load Test Company 003,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00004,en_US,,k6test4@k6-loadtest.local,Mr,LoadTest,User4,K6 Load Test Company 004,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00005,en_US,,k6test5@k6-loadtest.local,Mr,LoadTest,User5,K6 Load Test Company 005,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00006,en_US,,k6test6@k6-loadtest.local,Mr,LoadTest,User6,K6 Load Test Company 006,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00007,en_US,,k6test7@k6-loadtest.local,Mr,LoadTest,User7,K6 Load Test Company 007,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00008,en_US,,k6test8@k6-loadtest.local,Mr,LoadTest,User8,K6 Load Test Company 008,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00009,en_US,,k6test9@k6-loadtest.local,Mr,LoadTest,User9,K6 Load Test Company 009,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00010,en_US,,k6test10@k6-loadtest.local,Mr,LoadTest,User10,K6 Load Test Company 010,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00011,en_US,,k6test11@k6-loadtest.local,Mr,LoadTest,User11,K6 Load Test Company 011,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00012,en_US,,k6test12@k6-loadtest.local,Mr,LoadTest,User12,K6 Load Test Company 012,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00013,en_US,,k6test13@k6-loadtest.local,Mr,LoadTest,User13,K6 Load Test Company 013,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00014,en_US,,k6test14@k6-loadtest.local,Mr,LoadTest,User14,K6 Load Test Company 014,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
K6--00015,en_US,,k6test15@k6-loadtest.local,Mr,LoadTest,User15,K6 Load Test Company 015,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2026-01-01
